Gene ID	Control 1	Control 2	Control 3	Condition 1	Condition 2	Condition 3
8717	0.239438319	0.762553702	0.321408332	0.246829252	0.684353477	0.606096429
8743	0.637107027	0.445921471	0.553124386	0.081900193	0.521827774	0.313441656
7132	0.944550023	0.846156411	0.438105573	0.734469685	0.835915196	0.034072354
7124	0.179078833	0.993159836	0.493919339	0.769502351	0.466404457	0.174651775
7133	0.886362667	0.037466992	0.809879456	0.467528617	0.023954404	0.409206051
7185	0.661203038	0.432460837	0.097772236	0.15292602	0.49169551	0.767669318
7186	0.431366447	0.964622375	0.145479411	0.831171383	0.274067798	0.010901409
4214	0.321578255	0.865879195	0.853543891	0.806093292	0.06288512	0.288041091
6416	0.745047373	0.708082345	0.715558167	0.183128422	0.76885977	0.800891715
5602	0.689698984	0.577903428	0.874082739	0.65743435	0.286065177	0.333680352
8772	0.953413947	0.044916236	0.39077829	0.048994955	0.734837355	0.713117148
8737	0.847850737	0.429437103	0.257735272	0.471443479	0.124861024	0.906619849
330	0.905878884	0.345554963	0.441516569	0.032912146	0.681684308	0.560275976
329	0.647255326	0.374640968	0.725910123	0.474647651	0.285944743	0.868656412
331	0.840793802	0.263380239	0.192857352	0.327459681	0.714501184	0.751807675
839	0.39167391	0.092509977	0.504213541	0.948100284	0.522934199	0.393168884
840	0.377576657	0.15265063	0.033391846	0.517851753	0.020395736	0.83400968
836	0.731103375	0.739906596	0.531567924	0.633063867	0.145242006	0.721304746
835	0.567714059	0.288006311	0.354961478	0.30935176	0.689756443	0.444911764
596	0.236773891	0.045334852	0.733207821	0.675442611	0.911257928	0.602250273
8517	0.741678591	0.001363499	0.023397825	0.257286638	0.038391809	0.801122805
355	0.42862543	0.481681071	0.872036489	0.735532095	0.128655351	0.414104198
598	0.115183515	0.115792972	0.492709955	0.631125281	0.447655004	0.623280351
3002	0.030333353	0.674718659	0.31294811	0.107738685	0.634242583	0.045150485
5551	0.246901436	0.100889301	0.718347374	0.126922617	0.010173668	0.245372044
356	0.167196373	0.291521642	0.449045942	0.706367755	0.416199475	0.46585937
578	0.072085925	0.784976533	0.378736753	0.02964743	0.38008536	0.80981252
637	0.661934707	0.204215302	0.187862019	0.417979486	0.584992022	0.715138343
581	0.700280074	0.502444131	0.312625101	0.909795469	0.654485131	0.255416267
4609	0.563230725	0.955304357	0.552972607	0.626243931	0.237390787	0.176053972
7157	0.800056196	0.409832474	0.730495724	0.653041357	0.351842146	0.680393088
4193	0.698868621	0.53451472	0.066523082	0.667941676	0.833770147	0.217556506
5970	0.621473123	0.726505064	0.292487036	0.687921918	0.142396558	0.906825279
4790	0.190857361	0.019620761	0.868629294	0.999150525	0.242825356	0.442422513
317	0.006310918	0.053174941	0.497285597	0.290121776	0.090426514	0.34638826
842	0.514794317	0.127902969	0.810194133	0.154933191	0.108435353	0.471020986
4792	0.99422701	0.006746736	0.617431567	0.248183088	0.899097531	0.410517032
3725	0.297096314	0.485306913	0.258657365	0.972207243	0.737069634	0.244835123
10018	0.37420688	0.297936413	0.325535751	0.620824174	0.723796914	0.584819516
8739	0.761038884	0.890375063	0.073992368	0.344248311	0.281756738	0.619496022
665	0.118781154	0.203686811	0.619284427	0.071113732	0.211878606	0.816617509
843	0.532217438	0.891009601	0.999254626	0.671396795	0.676963656	0.878063908
1677	0.067541074	0.960866178	0.28090312	0.869470479	0.256354561	0.524900217
1676	0.239370351	0.446218672	0.12231289	0.933704407	0.885624924	0.398602413
3070	0.981980251	0.667364553	0.214281238	0.137359022	0.582316061	0.672270745
572	0.927478938	0.679407488	0.51476103	0.14522996	0.143868639	0.081043941
834	0.059639156	0.276333338	0.990028002	0.14711116	0.006102819	0.456857222
837	0.651038419	0.998090371	0.463474877	0.237476036	0.763468705	0.0481165
841	0.812894788	0.965465512	0.838484283	0.129887706	0.12380802	0.723237194
7187	0.93204374	0.028155169	0.602465821	0.883452921	0.165835671	0.843595816
8718	0.550017383	0.13273926	0.256585013	0.151007561	0.684241898	0.057883404
4049	0.352137124	0.128586351	0.950302134	0.568652782	0.13372949	0.091021526
8795	0.942993668	0.558281203	0.260701248	0.85307498	0.025317355	0.519480093
27242	0.166147202	0.169871515	0.313507641	0.59954202	0.46088873	0.717263981
3551	0.511959558	0.385348329	0.98413339	0.784723837	0.075712595	0.710606291
1147	0.295519869	0.408257742	0.416881879	0.725710778	0.483506199	0.581434903
4793	0.970683657	0.393989421	0.427775447	0.555362636	0.940570618	0.456239613
4794	0.694914913	0.497937574	0.395915549	0.64913803	0.838961186	0.99629647
4792	0.366916158	0.758454839	0.854653002	0.169091063	0.679254431	0.419251393
4793	0.41921959	0.912555537	0.455218535	0.746384675	0.77309185	0.255530166
4794	0.586723133	0.684558009	0.599783447	0.37189578	0.483062882	0.196647158
4790	0.032010528	0.102839356	0.828214185	0.086001109	0.869145166	0.478124205
5970	0.904675765	0.392146095	0.269237432	0.102337635	0.183167805	0.696871178
332	0.517635001	0.249820338	0.187459372	0.46858529	0.157749441	0.815288303
3659	0.957469332	0.380063533	0.211502773	0.995214355	0.242112197	0.050303511
3660	0.294445183	0.498812644	0.791802004	0.855674623	0.848146253	0.496959253
3661	0.060287457	0.334007294	0.881287311	0.596036041	0.317827585	0.184513441
3662	0.810085425	0.105994622	0.4865996	0.942498246	0.898862761	0.999255426
3663	0.418348311	0.579043675	0.085466624	0.034199587	0.682193552	0.535125839
3664	0.979249264	0.712282232	0.545718456	0.742626453	0.081512198	0.66203749
3665	0.437711834	0.768399421	0.085384082	0.646459022	0.666167919	0.80210313
7132	0.092070704	0.977353709	0.156273906	0.590463797	0.45213106	0.351516221
8738	0.903460009	0.657788432	0.186380864	0.865591595	0.364286149	0.311898275
8737	0.454301205	0.766938252	0.631764139	0.057267125	0.526509107	0.544681314
8717	0.906042457	0.935580221	0.535660753	0.720224451	0.357958344	0.706969416
8837	0.031126638	0.396038656	0.072414694	0.629555146	0.708626232	0.105437053
1029	0.384972997	0.058842695	0.113516701	0.82230956	0.429753689	0.139417414
5366	0.989428128	0.81620284	0.402464604	0.594358124	0.956764386	0.529146262
27113	0.693796772	0.055525692	0.452076591	0.027618445	0.09213077	0.398928908
666	0.665154513	0.502106466	0.700976558	0.68012317	0.281281824	0.824770385
56616	0.745286002	0.550922864	0.223738886	0.472661889	0.37086461	0.931693263
4170	0.61954322	0.173782748	0.264022244	0.746976142	0.843553167	0.609065495
599	0.988535609	0.88915566	0.445950293	0.198374363	0.354646884	0.308740792
3479	0.73910775	0.624386255	0.625029331	0.148906802	0.867420586	0.112377161
3481	0.26458892	0.802250387	0.499805613	0.943110526	0.407161367	0.029955792
3480	0.721622367	0.929825744	0.921262448	0.580563073	0.733160496	0.106661423
5295	0.645811047	0.521015715	0.227910568	0.394666183	0.022012355	0.941330891
207	0.232708938	0.672001833	0.755468962	0.865547718	0.558971003	0.382684823
572	0.422566071	0.330330044	0.989320742	0.018712758	0.319601607	0.719998806
54205	0.585297957	0.508248516	0.555167185	0.567696145	0.951568717	0.027262014
7161	0.251234495	0.019633025	0.123389503	0.266155388	0.69423224	0.621370828
