Gene ID	System Code	Sample 001	Sample 002	Sample 003	Sample 004	Sample 005	Sample 006	Sample 007	Sample 008	Sample 009	Sample 010	Sample 011	Sample 012	Sample 013	Sample 014	Sample 015	Sample 016	Sample 017	Sample 018	Sample 019	Sample 020	Sample 021	Sample 022	Sample 023	Sample 024	Sample 025	Sample 026	Sample 027	Sample 028	Sample 029	Sample 030	Sample 031	Sample 032	Sample 033	Sample 034	Sample 035	Sample 036	Sample 037	Sample 038	Sample 039	Sample 040	Sample 041	Sample 042	Sample 043	Sample 044	Sample 045	Sample 046	Sample 047	Sample 048	Sample 049	Sample 050	Sample 051	Sample 052	Sample 053	Sample 054	Sample 055	Sample 056	Sample 057	Sample 058	Sample 059	Sample 060	Sample 061	Sample 062	Sample 063	Sample 064	Sample 065	Sample 066	Sample 067	Sample 068	Sample 069	Sample 070	Sample 071	Sample 072	Sample 073	Sample 074	Sample 075	Sample 076	Sample 077	Sample 078	Sample 079	Sample 080	Sample 081	Sample 082	Sample 083	Sample 084	Sample 085	Sample 086	Sample 087	Sample 088	Sample 089	Sample 090	Sample 091	Sample 092	Sample 093	Sample 094	Sample 095	Sample 096
8717	L	0.382301246	0.713633018	0.772375757	0.942323699	0.466218409	0.491116474	0.863789817	0.273052893	0.288266136	0.05377018	0.411041894	0.809408382	0.417839129	0.121597242	0.788097981	0.124180508	0.694014138	0.605893767	0.588676771	0.304284426	0.383778939	0.961019494	0.25392014	0.005502759	0.285896973	0.94054318	0.476604136	0.867148486	0.994670178	0.190488071	0.618672148	0.768395005	0.218262607	0.487765745	0.026400208	0.251686699	0.489974581	0.467801512	0.636722989	0.816049832	0.546238135	0.447850006	0.151739795	0.93238371	0.975330522	0.230909684	0.283578005	0.55443155	0.733463304	0.554273713	0.446018017	0.124756612	0.768039245	0.092817097	0.528040066	0.306620172	0.105905233	0.059453679	0.196502202	0.367578167	0.855427782	0.701521648	0.375062641	0.002154947	0.355136018	0.42349494	0.961634474	0.252189218	0.134410026	0.462775999	0.290932843	0.682626984	0.512012147	0.944231818	0.495747165	0.69201552	0.283319488	0.877209245	0.537283971	0.917353218	0.412351698	0.331554936	0.241230041	0.972307291	0.376617552	0.954400294	0.430785365	0.86714382	0.284151901	0.071385075	0.019942985	0.261155546	0.68567863	0.003408446	0.902840045	0.321117148
8743	L	0.983318499	0.407087561	0.838631072	0.540742012	0.232087304	0.847369999	0.891827313	0.943659556	0.504503852	0.683361488	0.38391936	0.544259504	0.934561952	0.157084129	0.705523445	0.346960004	0.1601808	0.274508589	0.11974984	0.980440731	0.306666237	0.966815532	0.207795081	0.503512521	0.824589368	0.701722153	0.689083637	0.746917601	0.794983769	0.606820452	0.959922156	0.885322126	0.876863252	0.220966275	0.874860975	0.381087825	0.188083674	0.761834513	0.865752012	0.780435233	0.23557368	0.384484701	0.158759104	0.166678285	0.518170792	0.946167075	0.876258511	0.612428972	0.336360972	0.12718919	0.522850612	0.89413619	0.142010265	0.388751724	0.48774844	0.339912068	0.367287301	0.28705386	0.061508576	0.997948293	0.807940802	0.414275187	0.526341813	0.767265555	0.109719574	0.679146563	0.018375707	0.984910605	0.336806189	0.30812804	0.939425395	0.521813267	0.332787953	0.440802511	0.884556509	0.893867552	0.026950671	0.185400226	0.285813468	0.597502748	0.494897279	0.064788063	0.926061853	0.613757737	0.852907283	0.329461519	0.707882918	0.626056059	0.708422231	0.285968547	0.694234257	0.700792476	0.187912582	0.607471397	0.918887704	0.169810362
7132	L	0.513162814	0.153107172	0.921997941	0.898555205	0.098837922	0.855196773	0.012997034	0.040912501	0.994586049	0.117379417	0.585063237	0.264471412	0.601064367	0.944851821	0.302691531	0.356693958	0.256607817	0.951537041	0.315216394	0.409541176	0.365257939	0.345296195	0.591704915	0.601504977	0.968067425	0.501858949	0.64110483	0.212445757	0.280928736	0.660021342	0.028963313	0.143551332	0.471024562	0.988082526	0.532204129	0.45843813	0.443768161	0.884047698	0.741235385	0.670250474	0.978460332	0.793989119	0.899560397	0.88999982	0.893460816	0.420800543	0.885979989	0.095578317	0.263403345	0.672849208	0.622386877	0.546931174	0.840579941	0.544407825	0.16895765	0.293652136	0.540177408	0.537758767	0.423106245	0.207943364	0.625597863	0.135262628	0.564293243	0.539288562	0.007975559	0.750106573	0.773194051	0.018079815	0.992547271	0.92574903	0.062693659	0.920766864	0.010763613	0.355442362	0.260069658	0.245702957	0.260771243	0.11618465	0.153437008	0.921997975	0.282630147	0.57642514	0.983236442	0.001300469	0.484959777	0.658107487	0.837129292	0.045171144	0.976767523	0.734524533	0.72645588	0.615061107	0.031606123	0.34017109	0.350893885	0.649642558
7124	L	0.044323576	0.275863934	0.923130489	0.353295164	0.99319234	0.16411586	0.201094877	0.257712022	0.501277506	0.307839319	0.797790094	0.988146468	0.717317668	0.402047245	0.834659477	0.092314768	0.739831075	0.514869006	0.575634206	0.394905234	0.451296566	0.425541184	0.41617088	0.287466128	0.282972828	0.991861485	0.069827974	0.602571887	0.965012855	0.723322848	0.841616128	0.404401822	0.874981476	0.890076195	0.243425186	0.322068231	0.437543096	0.322800755	0.521750481	0.520345222	0.269454131	0.959887804	0.340672901	0.620011134	0.605377119	0.409367076	0.469218821	0.822753069	0.116750985	0.752255923	0.658032881	0.292989177	0.618478939	0.705468603	0.921748716	0.37335408	0.346824359	0.340406832	0.716131665	0.620762122	0.605071727	0.088320308	0.946937888	0.973397374	0.743077291	0.529939085	0.465769129	0.605565059	0.374340112	0.573481622	0.876627854	0.936224957	0.915255564	0.37182608	0.857261022	0.730032169	0.294422025	0.376446706	0.0445133	0.409615435	0.275857681	0.171374049	0.880761638	0.857618311	0.127445911	0.061186857	0.573551559	0.468930071	0.131173771	0.435487206	0.549050419	0.553847645	0.15999822	0.350366426	0.009178194	0.390978297
7133	L	0.817211383	0.575263584	0.083124319	0.175121861	0.654817615	0.632872772	0.123961058	0.203738177	0.982587558	0.158412714	0.459927409	0.899119092	0.664462661	0.945876503	0.583212967	0.181180316	0.340084498	0.719084488	0.090877483	0.697676362	0.178850051	0.119027342	0.608788077	0.351633995	0.955823267	0.708863099	0.981315297	0.9069107	0.305640524	0.465135354	0.317305143	0.54262356	0.134948712	0.304060651	0.058761097	0.627619126	0.857694358	0.36448899	0.11812984	0.864057306	0.652138553	0.743757337	0.86493559	0.715981428	0.824203712	0.185379582	0.771405565	0.859643629	0.152698128	0.544846897	0.63968369	0.541230868	0.382886662	0.816838566	0.824010336	0.673517227	0.323435718	0.482548835	0.724699239	0.29706887	0.344271026	0.3306316	0.501794044	0.91521133	0.691447295	0.70496692	0.8012925	0.10860299	0.010579093	0.776886188	0.503875935	0.175368348	0.682106103	0.351335992	0.615124734	0.146971164	0.046119096	0.656229996	0.517609704	0.831209274	0.924001617	0.581377932	0.515769275	0.055422507	0.390575715	0.666549155	0.123455373	0.54372387	0.632454169	0.996682734	0.145991789	0.979017887	0.673634833	0.183124153	0.774052723	0.615982357
7185	L	0.497770684	0.603189453	0.981813651	0.972382699	0.491880771	0.408744583	0.561062765	0.816653063	0.188637137	0.885752704	0.265214787	0.207723642	0.3904894	0.607390201	0.895977605	0.411840408	0.879360606	0.360621936	0.893203268	0.529343435	0.704543124	0.412839142	0.550066339	0.509249439	0.876315846	0.655805416	0.751190762	0.807101096	0.378229892	0.139717636	0.156188615	0.465221959	0.030470817	0.333408477	0.345089307	0.260577717	0.182572981	0.564399882	0.197266375	0.063026773	0.244868313	0.110480963	0.579869581	0.512001684	0.197668331	0.645961342	0.31284336	0.307616487	0.704316901	0.514559922	0.71777856	0.900367218	0.561825582	0.534909938	0.139020831	0.597996914	0.57717001	0.283409616	0.618172496	0.454475801	0.757890556	0.059927356	0.678225089	0.751702158	0.714951672	0.521994056	0.246136918	0.909483231	0.467029646	0.445907311	0.359661397	0.43276126	0.417088019	0.029142222	0.49962507	0.552111628	0.959407472	0.529655644	0.326679394	0.380522895	0.087686508	0.578950856	0.226287305	0.602791463	0.777251956	0.74040993	0.988649739	0.519578182	0.778567178	0.084977827	0.593714861	0.676446634	0.968482346	0.220217611	0.736178484	0.500613466
7186	L	0.897086493	0.673538249	0.406522983	0.653517483	0.326488361	0.994920595	0.863942938	0.830939071	0.591143429	3.86739E-05	0.455227442	0.44203685	0.75015077	0.416000288	0.311190782	0.178301585	0.025146826	0.657653377	0.070201235	0.834320219	0.565382649	0.029971903	0.556034889	0.396837869	0.473901386	0.973552854	0.993662786	0.484449887	0.039738634	0.05007926	0.019126235	0.801222666	0.094856929	0.999622165	0.03744917	0.986236241	0.317460025	0.848702386	0.671279643	0.155326337	0.112813766	0.578851592	0.405495115	0.565746275	0.703223136	0.971030638	0.998448193	0.892962745	0.992127241	0.578126545	0.4147609	0.99442047	0.934505966	0.954151632	0.19689877	0.72456833	0.22620031	0.913757751	0.682894047	0.830716991	0.164099317	0.75439902	0.910655032	0.893666564	0.109834267	0.253528002	0.557686814	0.688967148	0.541134064	0.433797964	0.346015932	0.471961581	0.921317649	0.857520618	0.291176682	0.833629961	0.729418827	0.983862956	0.00272605	0.569269056	0.010116886	0.995702962	0.920760042	0.938265903	0.641352911	0.560882805	0.790586453	0.897014485	0.5571414	0.658827595	0.063990174	0.267880324	0.349664653	0.338167023	0.740772512	0.686134757
4214	L	0.01768514	0.642488904	0.419553117	0.506690584	0.013776129	0.197515777	0.320332572	0.724784544	0.678700077	0.492665449	0.259065405	0.365242617	0.746986449	0.579832569	0.153993331	0.427038251	0.770106477	0.488907319	0.385936013	0.215168986	0.842888081	0.259610178	0.84615093	0.768316345	0.748860298	0.024695808	0.738907786	0.130895793	0.839213885	0.516813755	0.811964717	0.246166443	0.487326631	0.428008839	0.762368056	0.747128708	0.621376214	0.291559928	0.443954814	0.961229267	0.050682202	0.964447547	0.571199788	0.5903024	0.647223193	0.165811618	0.988693054	0.755908499	0.388203297	0.908784938	0.442286677	0.311906217	0.307514569	0.80084474	0.437184555	0.752594019	0.509677351	0.617177309	0.492659184	0.067027933	0.617743173	0.14849877	0.8307644	0.369679201	0.898295321	0.396872718	0.266081412	0.002856609	0.131635427	0.688821944	0.066233326	0.544023511	0.344296171	0.129022805	0.756533723	0.576880685	0.751182726	0.467828109	0.972330364	0.300861522	0.475011662	0.630512543	0.528807574	0.651493481	0.004932305	0.783300438	0.081618162	0.298327084	0.446093779	0.657390771	0.805156915	0.100152106	0.337225214	0.967022289	0.86404192	0.862605917
6416	L	0.185602928	0.444280216	0.460567453	0.932618801	0.554395814	0.023555959	0.269607192	0.176566366	0.744625317	0.428523908	0.660545484	0.867676328	0.570375354	0.676036967	0.25460388	0.131050125	0.11301494	0.512463261	0.188707987	0.188980489	0.520514984	0.639681213	0.287183419	0.117714678	0.964556195	0.887562695	0.214914595	0.043784094	0.442300423	0.729888094	0.348897114	0.423087015	0.995643189	0.955875296	0.138758227	0.41654897	0.414031689	0.035556736	0.902945141	0.816076939	0.951594008	0.347188705	0.469314312	0.302032175	0.116697964	0.911099213	0.464891536	0.857066853	0.783285382	0.54358741	0.635305189	0.503352406	0.366489362	0.255386943	0.228087166	0.006823822	0.087444812	0.830045425	0.367133563	0.922528847	0.78298658	0.841520381	0.713637124	0.226097374	0.109664471	0.488840071	0.125270086	0.95702209	0.87911065	0.465499214	0.550173523	0.806571515	0.588188091	0.268646458	0.328892915	0.572662414	0.439706887	0.535813907	0.398159504	0.009284883	0.052621725	0.069834161	0.499527391	0.608724997	0.465777151	0.597521072	0.589795967	0.217633486	0.735669108	0.101061434	0.229089679	0.369312469	0.930980347	0.050170008	0.996216153	0.958230821
5602	L	0.917011941	0.22541333	0.585786996	0.527072035	0.971623638	0.644003696	0.728177648	0.055545958	0.068612587	0.484253873	0.208051413	0.300070942	0.292443615	0.431227076	0.66716423	0.35907299	0.480210543	0.016828112	0.533021637	0.52503021	0.176185083	0.404537711	0.67561279	0.000149097	0.300253418	0.219029521	0.98391281	0.936948639	0.072877062	0.759480862	0.555090943	0.124360428	0.112403323	0.83553069	0.40704859	0.56951387	0.341956846	0.046749886	0.065149722	0.063522434	0.493824681	0.493053915	0.911239357	0.678108127	0.774001301	0.950876965	0.504810055	0.712584613	0.687557403	0.530849835	0.163763316	0.017610471	0.546767771	0.700064702	0.071834715	0.417153091	0.897791042	0.263383206	0.439777218	0.184831326	0.980243713	0.209221965	0.431218602	0.450587506	0.78619685	0.767190191	0.297276842	0.594754704	0.743751495	0.645304187	0.078956723	0.820575056	0.703147261	0.856582	0.662421877	0.773286946	0.660071475	0.3727165	0.69811235	0.678086426	0.968889803	0.562443495	0.230358529	0.593424196	0.902289186	0.317349655	0.93464067	0.814552827	0.144140436	0.240701844	0.656351632	0.933351494	0.180706855	0.174419039	0.686280734	0.533802561
