Gene ID	System Code	Control 1	Control 2	Control 3	Condition 1	Condition 2	Condition 3
8717	L	-17.67218001	83.94431276	79.90929187	-70.16096585	46.9504283	11.42994325
8743	L	75.13818308	54.9901687	31.39720106	10.58147055	-10.5932762	-5.395856439
7132	L	-65.22528174	55.97139843	-39.61122454	-0.339852028	-43.72167753	62.63660364
7124	L	-24.86296405	47.76855791	38.7066015	-11.81059859	-46.35530191	-91.25187254
7133	L	-69.75013192	-10.46833374	99.28540632	35.34920729	38.16436173	41.23108067
7185	L	79.0720652	-90.99799802	-98.43874283	77.23153641	63.22416327	84.75305663
7186	L	-75.20743499	78.92104708	89.69606212	85.79109476	13.85381552	16.37306554
4214	L	38.07869165	-24.84356231	-89.91840519	-84.82634814	-88.7799112	-8.637872146
6416	L	41.62531461	-90.08472721	-85.05269624	-17.1051403	-19.2193542	33.27375319
5602	L	36.63542774	45.44301141	-19.13744759	-93.3066205	-76.30326683	-42.51914102
8772	L	15.35497967	20.70230214	97.49760521	44.02555925	-52.36509621	-84.66369603
8737	L	-69.52081132	54.00064786	-34.45182786	-92.29504646	-11.88478815	-84.66439328
330	L	-42.210251	-96.25520417	-94.49005613	34.07453109	12.88040298	-12.61394109
329	L	40.48503662	-42.41924404	85.88464427	-27.95608575	94.20566885	41.81364739
331	L	81.88641678	-62.70209718	-57.97883629	-26.72434743	-30.97576843	-2.968121508
839	L	-81.71795259	-78.48624384	-43.55731556	-50.17332428	64.92952952	-52.69551467
840	L	-53.15422356	-86.77455498	-66.37491224	-76.55891078	21.77596609	85.61622551
836	L	87.76026149	8.384139792	-16.93267769	27.2261635	-48.34974883	-42.56719308
835	L	-92.49641076	40.18989437	-51.09097239	6.384552056	66.44936795	49.47505682
596	L	82.33279264	38.24311492	37.38422513	11.10747233	-30.97677852	42.16169049
8517	L	82.47786635	-53.53896376	23.20738698	72.61906733	-40.10182439	49.54451137
355	L	-52.1133184	-0.308969753	-60.8910182	-4.57884399	-82.0672468	81.15197384
598	L	48.16026789	18.3342251	52.72927501	31.10495472	62.13695668	46.07750672
3002	L	-93.35880852	73.98564635	-91.62612429	24.94130821	-46.75679986	10.17876644
5551	L	-74.42798225	76.12627642	0.488416302	-84.66677519	58.3520152	-55.31015316
356	L	4.269985712	-18.18640652	-68.53721582	-8.667258273	-85.03976985	-10.22753099
578	L	-0.237350172	13.24659958	-90.84665826	29.12785868	87.4994259	-4.459725347
637	L	6.056931812	17.92197823	-97.1106031	-50.23257411	-83.96172952	7.384024721
581	L	74.04358584	57.00720376	55.62325211	-23.23189818	53.45543521	69.12116142
4609	L	-74.71272323	14.69967235	1.029186906	-81.95475381	19.04284843	-18.79616871
7157	L	90.66725514	-42.20316744	-35.79397675	-80.29766298	76.61731611	55.20573121
4193	L	-22.32462517	67.51004434	-86.52699999	-64.04144869	83.18969486	-50.83069821
5970	L	24.46213564	35.0220373	58.54924328	-33.2960246	72.01635688	17.28341558
4790	L	57.05281828	53.51908113	50.75461483	14.21374749	16.37830494	32.98618588
317	L	39.22843005	14.50697565	-55.28539052	-80.11730127	8.41132483	-19.33224395
842	L	82.2348781	-0.984390667	25.04878358	-15.98182161	84.76172978	88.9755574
4792	L	-51.27211573	-57.89078127	84.19104407	-49.40004105	-9.602213712	-48.14026014
3725	L	18.5106194	82.65206397	31.35960404	-35.81005089	-55.65442889	-30.14458899
10018	L	-34.57789342	81.52682572	77.43523773	-3.13647714	-3.753873001	-80.65326423
8739	L	37.93641968	-75.63503561	-42.76406643	-0.65595264	85.63579374	-33.73994876
665	L	-40.16590234	-94.1332724	-29.89634536	77.64743783	-22.01052097	47.81946721
843	L	1.373261408	-48.85503841	91.39409201	6.934112634	-23.89507351	-94.13269242
1677	L	-92.37521406	-12.41647766	-41.9420932	17.1682962	9.628779204	59.03071672
1676	L	-30.13444353	-10.66130473	-22.75641598	67.67169846	-93.0705162	-54.41004974
3070	L	63.39427307	45.24907018	-88.39630349	29.45742396	-13.788034	16.31414689
572	L	-44.23554172	-43.30938765	68.64563225	-78.70091392	-76.02662262	85.88916805
834	L	21.84925341	-83.51202854	7.573731413	-21.50892135	-17.56666776	-71.28421078
837	L	-73.9253867	93.65813099	68.68394154	-14.53149792	-5.541266686	98.8309147
841	L	-4.452278465	-20.52394582	63.32059909	-21.91031523	-16.37899278	17.44780811
7187	L	98.40990219	86.04203743	29.7571771	53.77598526	59.0821589	-25.71408726
8718	L	-97.81175477	-64.51461839	65.24057688	53.69048232	-1.350685656	-60.97554292
4049	L	26.17056194	43.34978515	-27.30169874	41.16112914	19.40028436	-33.14651082
8795	L	18.62519695	-1.205473529	27.22461122	-94.93747645	-96.31648771	-96.9607011
27242	L	87.40779244	52.67134618	39.00395041	-30.75597227	38.80306975	-60.12006557
3551	L	22.71305043	-20.16176166	-79.87247871	-50.82394549	-77.27950438	90.56091421
1147	L	-2.987208832	-87.22565369	20.66849984	-98.80936097	-73.87339593	-87.5189061
4793	L	87.80856298	-77.18045737	-97.57396314	60.49632817	-41.68933293	14.16207748
4794	L	-59.72450657	-74.74342033	-67.83684304	12.34177887	-98.47150222	20.2474016
4792	L	-54.29184323	-9.904982645	22.04029964	19.7504118	26.02791796	-6.119096382
4793	L	-89.47091304	20.9932273	-78.65970196	5.243006857	1.908348142	11.26959105
4794	L	76.89528322	-69.89938171	-1.280990831	94.20844111	-99.70769918	45.55040395
4790	L	96.83314794	73.80079489	-50.13830949	-44.11595343	50.136976	16.48867303
5970	L	-88.94891364	-84.57139225	69.23533284	68.63774718	-40.96296559	41.72284982
332	L	-22.15798252	65.38339913	53.80586844	-86.69379641	-70.27346999	-44.14672699
3659	L	63.28627534	2.367139385	87.5372802	-7.997116931	18.00433954	78.08953406
3660	L	-2.811609704	-43.43133085	-65.58922246	-2.695768479	56.88740944	-66.71240686
3661	L	79.48670308	11.40413291	-49.90729179	68.3112253	68.64453571	-97.85960163
3662	L	-82.03517152	69.67144852	-30.9557217	-72.44459352	-52.41189914	63.10511382
3663	L	88.3128575	24.22133419	22.73594422	-88.38739349	2.061533911	57.92383392
3664	L	-51.75380972	2.737840523	55.20334485	-33.22886671	-64.64955071	-28.55424043
3665	L	31.53491377	-15.49806244	-87.30474663	-7.107231598	49.01716172	-15.09365033
7132	L	47.77825993	-45.30675453	25.53865601	-66.74034415	21.48965594	-91.97116501
8738	L	-39.6882443	80.83874305	26.9732582	-41.55558055	-35.16422763	-7.568060373
8737	L	85.69172868	79.09352674	-39.11041923	64.50081675	65.59545598	-50.98187257
8717	L	48.6779385	-39.23445343	-28.66516196	-52.65632954	74.01088618	-24.16095317
8837	L	35.19341241	64.52696198	51.49017504	-65.18400778	43.90435385	23.36328504
1029	L	-3.495762083	4.115974655	-1.310742389	88.25674976	-41.18892337	-53.6943157
5366	L	-76.052206	-5.108812978	18.8591519	75.99624314	26.74298069	82.03300157
27113	L	-52.2589067	86.69967321	-56.73832762	-41.44904546	21.2152657	-93.08335586
666	L	42.83759251	57.44692601	-86.71459558	5.915627675	56.49210201	21.33357717
56616	L	-70.28436102	65.44375024	-82.28051533	3.589487286	-70.02236093	-22.17146247
4170	L	48.69103499	-42.77608425	18.4300441	-64.58909327	37.14867546	2.586460316
599	L	46.31309784	-60.80594547	94.65120883	-70.36976644	-92.35846143	-89.72410116
3479	L	35.61385687	-78.99214532	11.35517004	7.750241747	35.34207911	71.48798494
3481	L	-93.18707482	41.17285524	21.59338423	-98.9965454	79.14155301	85.17013737
3480	L	-67.61833146	-66.06768149	36.47212822	81.64523113	-26.9701912	15.55512213
5295	L	-85.98628292	-18.31428212	16.08324155	-74.65175917	-15.70783762	-89.91091964
207	L	84.62812018	-66.51882751	-34.16938475	-13.68394011	52.43792366	-31.64710934
572	L	-0.049124564	-13.20206191	-2.561651699	-58.94051318	83.87482308	65.82378825
54205	L	61.66776439	78.49314631	-15.02962187	46.95662286	50.39801786	72.33899849
7161	L	-50.98739495	-82.89590136	-97.07096698	88.25000619	93.76500051	-81.85102497
